"Wijken en buurten;""Aantal installaties bij woningen (aantal)"""
Almere;7640
Wijk 01 Almere Haven;1012
Centrum Almere Haven;7
De Werven;282
De Hoven;38
De Meenten;68
De Grienden;70
De Marken;99
De Gouwen;98
De Wierden;252
De Velden;79
Overgooi;19
De Steiger;
Stichtsekant;
Overig Almere Haven;
Wijk 02 Almere Stad;3519
Centrum Almere Stad;4
Filmwijk;314
Danswijk;115
Parkwijk;247
Verzetswijk;145
Waterwijk;257
Tussen de Vaarten Noord;165
Tussen de Vaarten Zuid;331
Staatsliedenwijk;24
Kruidenwijk;302
Stedenwijk;372
Muziekwijk Noord;441
Muziekwijk Zuid;222
Literatuurwijk;253
Noorderplassen;318
Randstad;9
Markerkant;
Hollandsekant;
Gooisekant;
Veluwsekant;
Sallandsekant;
Overig Almere Stad;
Wijk 03 Almere Buiten;2009
Centrum Almere Buiten;27
Oostvaardersbuurt;192
Seizoenenbuurt;234
Molenbuurt;318
Bouwmeesterbuurt;122
Landgoederenbuurt;155
Faunabuurt;148
Bloemenbuurt;151
Regenboogbuurt;192
Indischebuurt;16
Eilandenbuurt;157
Stripheldenbuurt;215
Sieradenbuurt;74
Poldervlak;
De Vaart;
Buitenvaart;4
Overig Almere Buiten;
Wijk 04 Almere Poort;764
Europakwartier;54
Columbuskwartier;379
Homeruskwartier;214
Olympiakwartier;
Duin;117
Hogekant;
Middenkant;
Lagekant;
Overig Almere Poort;
Wijk 05 Almere Hout;336
Vogelhorst;111
Nobelhorst;148
Twentsekant;
Overig Almere Hout;77
Wijk 06 Almere Pampus;
Overig Almere Pampus;
